output,year,value,tol_perc
tb_notifications,2010,160,30
tb_notifications,2011,163,30
tb_notifications,2012,166,30
tb_notifications,2013,170,30
tb_notifications,2014,173,30
tb_notifications,2015,176,30
tb_notifications,2016,180,30
tb_notifications,2017,183,30
tb_notifications,2018,186,30
tb_notifications,2019,190,30
tb_notifications,2020,180,30
tb_notifications,2021,185,30
tb_notifications,2022,192,30
tb_notifications,2023,196,30
tb_notifications,2024,200,30
tb_incidence_per100k,2015,330,20
tb_incidence_per100k,2020,310,20
tb_incidence_per100k,2024,300,20
tb_prevalence_per100k,2024,250,25
tb_mortality_per100k,2015,35,30
tb_mortality_per100k,2024,30,30
tst_positivity_perc,2024,30,20
perc_prev_subclinical,2024,55,20
perc_prev_infectious,2024,60,20
